I
1130 Generated by WorldEditor 2.0.0r4

1    521 0 0 EBBZ Buzet
1302 city Pont-à-Celles
115  50.54284340  004.38254617
120 Linear Feature 8
111  50.54318952  004.38226557 24
111  50.54316511  004.38228488 24
111  50.54316584  004.38228687 24
111  50.54318916  004.38226812 24
111  50.54318979  004.38227012 24
115  50.54316557  004.38228941
120 Linear Feature 8
111  50.54351468  004.38200504 24
111  50.54349027  004.38202435 24
111  50.54349100  004.38202634 24
111  50.54351432  004.38200760 24
111  50.54351494  004.38200960 24
115  50.54349073  004.38202888
120 Linear Feature 8
111  50.54384462  004.38174169 24
111  50.54382021  004.38176100 24
111  50.54382095  004.38176299 24
111  50.54384426  004.38174424 24
111  50.54384489  004.38174624 24
115  50.54382067  004.38176553
120 Linear Feature 8
111  50.54416799  004.38148304 24
111  50.54414357  004.38150235 24
111  50.54414431  004.38150433 24
111  50.54416763  004.38148559 24
111  50.54416825  004.38148759 24
115  50.54414404  004.38150687
120 Linear Feature 8
111  50.54081655  004.38353842 24
111  50.54079214  004.38355765 24
111  50.54079288  004.38355964 24
111  50.54081620  004.38354096 24
111  50.54081682  004.38354296 24
115  50.54079261  004.38356217
120 Linear Feature 8
111  50.54113033  004.38328525 24
111  50.54110592  004.38330449 24
111  50.54110666  004.38330647 24
111  50.54112997  004.38328780 24
111  50.54113060  004.38328979 24
115  50.54110638  004.38330900
120 Linear Feature 8
111  50.54144880  004.38303470 24
111  50.54142438  004.38305394 24
111  50.54142512  004.38305592 24
111  50.54144844  004.38303725 24
111  50.54144906  004.38303924 24
115  50.54142485  004.38305845
120 Linear Feature 8
111  50.54176296  004.38278009 24
111  50.54173855  004.38279932 24
111  50.54173928  004.38280131 24
111  50.54176260  004.38278263 24
111  50.54176322  004.38278463 24
115  50.54173901  004.38280384
120 Linear Feature 8
111  50.54207626  004.38252953 24
111  50.54205185  004.38254877 24
111  50.54205258  004.38255075 24
111  50.54207590  004.38253208 24
111  50.54207652  004.38253407 24
115  50.54205231  004.38255328
120 Linear Feature 8
111  50.54238870  004.38227762 24
111  50.54236428  004.38229686 24
111  50.54236502  004.38229884 24
111  50.54238834  004.38228017 24
111  50.54238896  004.38228216 24
115  50.54236475  004.38230137
120 Linear Feature 8
111  50.54270630  004.38202435 24
111  50.54268189  004.38204359 24
111  50.54268263  004.38204557 24
111  50.54270594  004.38202690 24
111  50.54270657  004.38202889 24
115  50.54268235  004.38204810
120 Linear Feature 8
111  50.54302847  004.38176759 24
111  50.54300406  004.38178682 24
111  50.54300480  004.38178881 24
111  50.54302811  004.38177013 24
111  50.54302874  004.38177213 24
115  50.54300452  004.38179134
120 Linear Feature 8
111  50.54335363  004.38150706 24
111  50.54332922  004.38152629 24
111  50.54332996  004.38152827 24
111  50.54335327  004.38150960 24
111  50.54335390  004.38151159 24
115  50.54332968  004.38153080
120 Linear Feature 8
111  50.54368357  004.38124370 24
111  50.54365916  004.38126294 24
111  50.54365990  004.38126492 24
111  50.54368321  004.38124624 24
111  50.54368384  004.38124824 24
115  50.54365962  004.38126745
120 Linear Feature 8
111  50.54400694  004.38098504 24
111  50.54398252  004.38100428 24
111  50.54398326  004.38100626 24
111  50.54400658  004.38098759 24
111  50.54400720  004.38098958 24
115  50.54398299  004.38100879
120 X
111  50.54409195  004.38035902 10
111  50.54409287  004.38036182 10
111  50.54409355  004.38036129 10
111  50.54410937  004.38029337 10
111  50.54410887  004.38029170 10
111  50.54410792  004.38029243 10
115  50.54409234  004.38036087
14  50.54349798  004.38025222  16.40 0 Tower Viewpoint
1300  50.54391098  004.38056458  68.20 misc props Ramp Start 1
1301 A none 
1300  50.54372953  004.38046242  68.20 misc props Ramp Start 2
1301 A none 
1300  50.54360675  004.38054090  68.20 misc props Ramp Start 3
1301 A none 
1300  50.54334835  004.38073685  80.75 misc props Ramp Start 4
1301 A none 
1300  50.54314719  004.38087279   3.03 misc props Ramp Start 5
1301 A none 
1300  50.54286250  004.38106678   3.03 misc props Ramp Start 6
1301 A none 
1300  50.54164408  004.38254750  57.81 misc props Ramp Start 7
1301 A none 
19  50.54270477  004.38110905 0 Windsock
1054 124050 Buzet Radio
99
